Date,signal,Fast_SMA,Slow_SMA,positions,Buy
3/1/16,1,96.82500062,96.61499956,1,Buy
6/1/16,1,98.531251,98.34911744,1,Buy
7/15/16,1,97.12375062,96.87558829,1,Buy
9/15/16,1,108.1799985,107.6591179,1,Buy
12/13/16,1,111.8187505,111.017941,1,Buy
7/19/17,1,147.9750004,147.3702927,1,Buy
10/18/17,1,157.6737499,157.3535291,1,Buy
12/18/17,1,172.2425001,171.9708826,1,Buy
1/9/18,1,172.6887495,172.3697061,1,Buy
2/23/18,1,171.0062502,170.1838235,1,Buy
4/18/18,1,174.563751,173.7879422,1,Buy
5/7/18,1,172.9187526,170.9923543,1,Buy
7/13/18,1,188.5575009,188.4570587,1,Buy
1/31/19,1,157.5437489,156.3411762,1,Buy
6/17/19,1,192.2162494,190.6441174,1,Buy
8/20/19,1,205.2675017,204.6435295,1,Buy
4/15/20,1,267.762497,263.1938225,1,Buy